identity_key,molecule_name,formula,rows,primary_rows,sources,energy_min_eV,energy_max_eV,primary_energy_max_eV,cv_fold,raw_primary_nmae_percent,raw_whole_nmae_percent,constant_primary_nmae_percent,constant_whole_nmae_percent,ml_primary_nmae_percent,ml_whole_nmae_percent,improvement_pp
methylene,methylene,CH2,26,19,"[""${ARCHIVE_ROOT}\\outputs\\current_experiment_beb_master_2026_08_01\\nist_fast12_experiment_beb_digitized_READY_TIER_B.csv""]",13.147,172.435,94.384,2,13.488173942247295,10.944486982360253,16.138561781994387,13.766157479775265,11.629808331013324,9.246010628912119,1.858365611233971
methylidyne,methylidyne,CH,28,20,"[""${ARCHIVE_ROOT}\\outputs\\current_experiment_beb_master_2026_08_01\\nist_fast12_experiment_beb_digitized_READY_TIER_B.csv""]",12.041,200.474,69.828,4,12.039178643313672,13.820301049500921,16.091298457679766,17.99240488981877,9.656330194133988,11.204494586230643,2.3828484491796846
nitric-oxide,nitric oxide,NO,79,53,"[""${ARCHIVE_ROOT}\\nist_strict_usable_numeric_pairs_2026_07_30\\paired_numeric\\018_NO_BEB_vs_experiment.csv""]",10.1,299.601,100.499,1,11.318854434831929,12.766528200837756,11.490528473591072,11.839464550958658,12.126726737880066,12.967045909191913,-0.8078723030481374
nitrogen,nitrogen,N2,65,38,"[""${ARCHIVE_ROOT}\\nist_strict_usable_numeric_pairs_2026_07_30\\paired_numeric\\020_N2_BEB_vs_experiment.csv""]",17.4413,298.389,100.0,1,8.296031951870523,6.105006637700092,11.353407861996532,8.20778810463703,4.8673782505394945,4.3943864503586925,3.4286537013310285
nitrogen-dioxide,nitrogen dioxide,NO2,16,12,"[""${ARCHIVE_ROOT}\\nist_strict_usable_numeric_pairs_2026_07_30\\paired_numeric\\019_NO2_BEB_vs_experiment.csv""]",13.4813,299.601,119.811,1,6.702018788243031,5.1316959608405215,9.729705965574576,6.926916710464227,4.895482229065359,4.474589186551925,1.8065365591776716
nitrous-oxide,nitrous oxide,N2O,45,28,"[""${ARCHIVE_ROOT}\\nist_strict_usable_numeric_pairs_2026_07_30\\paired_numeric\\021_N2O_BEB_vs_experiment.csv""]",13.9988,299.601,109.731,0,10.112103992464776,6.431384783391422,14.734106349336095,10.711515120067071,7.3181116088564755,4.68503300977339,2.793992383608301
octafluoropropane,perfluoropropane,C3F8,75,69,"[""${ARCHIVE_ROOT}\\nist_strict_usable_numeric_pairs_2026_07_30\\paired_numeric\\022_C3F8_BEB_vs_experiment.csv""]",15.1539,297.745,99.8089,3,16.71959902501549,15.798194352844575,17.027540119549887,15.954198679440937,19.567970637162297,18.324590054616603,-2.8483716121468063
oxygen,oxygen,O2,50,34,"[""${ARCHIVE_ROOT}\\nist_strict_usable_numeric_pairs_2026_07_30\\paired_numeric\\023_O2_BEB_vs_experiment.csv""]",14.5018,298.389,115.255,2,12.040289574738935,9.79368938602192,14.385588618637543,10.580531190444987,10.223748144033799,10.014361707063593,1.8165414307051364
ozone,ozone,O3,19,15,"[""${ARCHIVE_ROOT}\\nist_strict_usable_numeric_pairs_2026_07_30\\paired_numeric\\024_O3_BEB_vs_experiment.csv""]",20.1473,257.698,90.8947,1,54.258977704149935,55.19915334846679,60.505422002189526,61.483668395321146,41.727866738632535,44.85771389921294,12.5311109655174
pentyl-formate,pentyl formate,C6H12O2,55,20,"[""${ARCHIVE_ROOT}\\outputs\\no_qec_priority_2026_07_31\\ready15_esters_experiment_beb\\paired_curves\\007_pentyl_formate_experiment_beb_paired.csv""]",15.0,285.0,110.0,1,18.81826958445987,10.95613313884965,23.62960512936549,10.707081415213363,7.3399123225889085,4.3613346266288096,11.478357261870961
